handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_971b836e-4672-5a2c-134e-2c476209e199,Product,Barbeador Profissional Dragão,"<p>Máquina de Barbear e Cortar Cabelo Profissional Recarregável Sem Fio Retrô Esta Máquina além de possuir um designer único, traz em sua lâmina um formato T, que facilita na hora de fazer marcações e acabamentos, contando também com uma visão limpa das lâminas permitindo mais precisão e agilidade. Perfeita para o seu dia a dia e para Profissionais de Barbearia trazendo mais produtividade e estilo. Fácil de limpar, resistente a água e com um motor potente chegando a 7.000 rotações por minuto.</p>",8209a8_14a7dd051e2d4230b8d3a9067874ad96~mv2.webp;8209a8_2b9469bcb1314eb1852545f99f3190f1~mv2.jpg;8209a8_83904795a93d4d56aaa8795668f0db2f~mv2.jpg;8209a8_28db1edb71d34d159f6001988e962631~mv2.jpg;8209a8_0b5a2b306a544efdba4ba4e680ef135f~mv2.jpg;8209a8_dfcaff4de8314e06a18790480f621c59~mv2.jpg;8209a8_564230eb6af645e894703b600e2065d4~mv2.jpg,,,Novidade,249.99,,true,AMOUNT,100.0,InStock,,,,,,,,,,,,,,,,,,,,,Pode ser usada para,"<p>– Aparar a barba</p>

<p>– Cortar o cabelo</p>

<p>– Fazer o pezinho e marcações</p>

<p>– Acabamentos e disfarces</p>

<p>– Desenhos</p>

<p>– Depilar o peitoral, axilas, costas e pernas.</p>
",Olha só quantas Qualidades!,"<p>– Sem fio, mais mobilidade pra você</p>

<p>– 5W de potência, baixo ruído, motor mais silencioso</p>

<p>– Não precisa remover a bateria para carregar, basta plugar o cabo</p>

<p>– Bateria de 1500mAh com duração de 180min ininterruptos, com apenas 3hs de carga</p>

<p>– Compacta, leve e ergonômica</p>

<p>– Portátil, Leve em suas viagens</p>

<p>– Corpo em Metal, com acabamento vintage em alto relevo</p>

<p>– Troca rápida de pentes</p>

<p>– Carregue em qualquer entrada USB (Power Bank, computadores e etc.)</p>

<p>– Bivolt 110/220v</p>
",,,,,,,,,,,,,,,
product_391c4264-41e8-9b33-9c8a-816469fbac60,Product,Depilador Batom Portátil,"<p>Descubra a praticidade e a eficiência do Depilador Batom Portátil, a maneira mais fácil e indolor de remover os pelos indesejados em qualquer lugar e a qualquer hora. Com design elegante e compacto, similar a um batom, ele cabe perfeitamente na sua bolsa, garantindo uma pele lisinha sempre que você precisar.</p>",8209a8_7f3e3ebda9044eb4842bc89fe135dc63~mv2.jpeg;8209a8_164ff4167ac04ceeadb8b70fc679b3fc~mv2.jpeg;8209a8_7ee9f74f530f40c3b1d203c0aafee25d~mv2.jpeg;8209a8_d9486f0c068140e1a8fee5690030b761~mv2.jpeg;8209a8_0acb7a6049774fbcbcaf7240e8e1a9bb~mv2.jpeg;8209a8_fadb4667291c4ed29ea3231c20703bbc~mv2.jpeg;8209a8_02042341d64240a4b95e121d36555595~mv2.jpeg,,,Novidade,209.99,,true,AMOUNT,100.0,InStock,,,,,,,,,,,,,,,,,,,,,Principais Características,"<p><strong>Depilação Indolor:</strong> Livre-se dos pelos sem sentir dor, cortes ou irritações.</p>

<p><strong>Design Discreto e Portátil:</strong> Leve-o para onde quiser, com a aparência de um batom elegante.</p>

<p><strong>Fácil de Usar:</strong> Remova os pelos de forma rápida e simples, sem complicações.</p>

<p><strong>Seguro para a Pele:</strong> Ideal para todos os tipos de pele, sem causar alergias.</p>
",Benefícios,"<p>Pele lisa e macia em segundos.</p>

<p>Praticidade para retoques a qualquer momento.</p>

<p>Discreto e fácil de transportar.</p>

<p>Indolor e seguro para uso diário.</p>
",,,,,,,,,,,,,,,
product_7dc6eba0-9180-7b29-e83d-595c0b704d58,Product,BellaMax Antivarizes,"<p>BellaMax Antivarizes em gotas é uma fórmula americana inovadora, desenvolvida com ingredientes 100% naturais e comprovadamente eficazes para o tratamento de varizes e outros problemas circulatórios nas pernas. Desfrute de uma abordagem segura e suave para resgatar a saúde e a beleza das suas pernas.</p>",8209a8_63064de36abd419faf40abcf22124230~mv2.png;8209a8_c492e1da919d4db3b8ec61fd26f3071c~mv2.png;8209a8_03d7190e5b8b4b73b0acb87774c18f22~mv2.png,,,Novidade,297.0,,true,AMOUNT,100.0,InStock,,,,,,,,,,,,,,,,,,,,,Benefícios,"<p><strong>Alívio de Varizes e Microvasos:</strong> Sua fórmula exclusiva, com Pinus Pinaster, age no sistema circulatório para eliminar varizes e microvasos.</p>

<p><strong>Auxilia na Trombose:</strong> O Pinus Pinaster também atua na prevenção e tratamento da trombose.</p>

<p><strong>Regeneração de Veias e Artérias:</strong> O Extrato Seco de Semente de Uva contribui para a saúde vascular.</p>

<p><strong>Combate a Dores e Inchaços:</strong> O Magnésio, aliado poderoso contra varizes, ajuda a aliviar o desconforto.</p>

<p><strong>Rico em Vitaminas:</strong> Contém Vitaminas A e C, importantes para a saúde da pele e circulação.</p>

<p><strong>Ação Antioxidante:</strong> O Café Verde presente na fórmula oferece propriedades antioxidantes.</p>
",,,,,,,,,,,,,,,,,
product_8586f64f-37af-ac40-3ebe-d8c4a19839a0,Product,Melzinho do Amor,"<p>O Melzinho do Amor é um suplemento especialmente formulado para intensificar seus momentos íntimos e reacender a paixão. Com ingredientes cuidadosamente selecionados, ele visa proporcionar mais energia, desejo e prazer para ambos os parceiros.</p>",8209a8_91384ef6c6884dabb519347dfdd4e60f~mv2.png;8209a8_c6ca006274614cdfae63a5d3eaa9b74f~mv2.png,,,Novidade,179.9,,true,AMOUNT,100.0,InStock,,,,,,,,,,,,,,,,,,,,,Sinta a Diferença,"<p>Ao consumir o Melzinho do Amor, você poderá experimentar um aumento da libido, maior disposição e uma sensibilidade aprimorada. Ele é projetado para criar uma atmosfera mais excitante e prazerosa em seus encontros românticos.</p>
",Benefícios Potenciais,"<p><strong>Aumento da Libido:</strong> Estimula o desejo sexual em ambos os parceiros.</p>

<p><strong>Mais Energia e Disposição:</strong> Combate o cansaço e promove uma maior vitalidade para os momentos íntimos.</p>

<p><strong>Sensibilidade Aprimorada:</strong> Pode intensificar as sensações e o prazer durante a relação.</p>

<p><strong>Momentos Mais Prazerosos:</strong> Contribui para uma experiência íntima mais satisfatória para o casal.</p>
",,,,,,,,,,,,,,,
product_1665e7a3-c176-3ed7-4533-929fe679fa21,Product,Pistola de Massagem Profissional,"<p><strong>Pistola de Massagem Profissional - Alívio de Dores e Recuperação Muscular</strong>&nbsp;é a solução ideal para quem busca reduzir dores musculares e tensão de maneira eficaz e silenciosa. Com 6 velocidades ajustáveis e tecnologia de motor super silencioso (45dB), oferece uma experiência de massagem profissional no conforto da sua casa ou academia. Além disso, a portabilidade da bateria de longa duração garante uso em qualquer lugar.</p>",8209a8_51d27169a41f498abbfbd4b770177341~mv2.png;8209a8_9a5b88415ab2463e9f207d5c9f5ee5f6~mv2.webp;8209a8_50c71406f861459792ce9022019b38a0~mv2.webp;8209a8_2e519b5a43fc4bc08e5612eec5f4c2c7~mv2.webp;8209a8_34ea5ccddf47403b92168d5cec99aa14~mv2.webp;8209a8_94a0d23e70134cbfbd1fb0b2d3a364ef~mv2.webp;8209a8_e22c690af6dd43ff8200891f18fd4d2b~mv2.webp;8209a8_7da7974edb0947b887863141105a9f0c~mv2.webp;8209a8_cb3af22ffd454baf8092c1fd838a0e00~mv2.webp;8209a8_adae5044e76043839e629914f15d9fca~mv2.webp;8209a8_b978d33e518c4202a5c8edff9cbbe6a0~mv2.webp;8209a8_7867ccea2d8b4e10a1c6c3aacc22ded0~mv2.webp,,,Novidade,229.99,,true,AMOUNT,120.0,InStock,,,,,,,,,,,,,,,,,,,,,Benefícios,"<p><strong>Alívio de Dores Musculares</strong>: Combate a rigidez muscular e ajuda a reduzir inflamações nas costas, pescoço, pernas e ombros.</p>

<p><strong>Recuperação Muscular</strong>: Perfeita para atletas e esportistas, acelera a recuperação pós-treino e diminui as dores.</p>

<p><strong>Tecnologia Silenciosa</strong>: Com apenas 45dB, é ideal para uso em qualquer ambiente sem ruídos incômodos.</p>

<p><strong>Uso Versátil</strong>: Pode ser usada em casa, no trabalho ou na academia. Leve e compacta, é perfeita para ser transportada.</p>
",Características,"<p><strong>Material</strong>: Construída em ABS durável</p>

<p><strong>Peso</strong>: 0,7kg, leve e fácil de manusear</p>

<p><strong>Frequência</strong>: 1200-3200 rpm, ajustável em 6 velocidades</p>

<p><strong>Bateria</strong>: 1800mAh com autonomia de 4-6 horas</p>

<p><strong>Carregamento</strong>: USB, tempo de carga 2,5-3 horas</p>

<p><strong>Ruído</strong>: Super silenciosa com 45dB</p>

<p><strong>Acessórios</strong>: 4 cabeças de massagem intercambiáveis para diferentes áreas do corpo</p>
",Dicas de Uso,"<p><strong>Antes do Uso</strong>: Carregue totalmente a pistola de massagem antes do primeiro uso.</p>

<p><strong>Troca de Cabeças</strong>: Utilize as diferentes cabeças de massagem conforme a área do corpo e tipo de massagem desejada.</p>

<p><strong>Tempo de Uso</strong>: Não utilize a pistola de massagem na mesma área por mais de 15 minutos contínuos para evitar irritações.</p>

<p><strong>Manutenção</strong>: Limpe as cabeças de massagem regularmente com um pano úmido para garantir a higiene.</p>

<p><strong>Armazenamento</strong>: Guarde a pistola de massagem em local seco e protegido, evitando exposição direta ao sol.</p>
",,,,,,,,,,,,,
product_e1958699-fb5a-1ef5-95b7-ee192abea265,Product,Mel Árabe - 2 unidades,"<p>Descubra o segredo dos famosos para uma vida íntima mais intensa e prazerosa com o Mel Árabe, um suplemento sexual importado diretamente de Dubai. Diferente de géis, cápsulas ou gotas convencionais, o Mel Árabe é um produto 100% natural que eleva sua libido e apetite sexual a níveis surpreendentes.</p>",8209a8_6e79047d0a0b4dafb56f811eea92f35b~mv2.png;8209a8_3cf16ba452c349d9a7dd99be991d5f98~mv2.png;8209a8_370ac49e006e4413aa6ac92dbadbbdc5~mv2.png;8209a8_6a901cb9ff064dda9858edf562326132~mv2.png,,,Novidade,229.0,,true,AMOUNT,122.0,InStock,,,,,,,,,,,,,,,,,,,,,Sinta a Diferença,"<p>Após a ingestão de um sachê, prepare-se para sentir uma excitação intensa e um aumento notável da libido. Muitos usuários relatam uma sensação de crescimento peniano, proporcionando mais confiança. E o melhor: o Mel Árabe também é um aliado para sua parceira, diminuindo o cansaço e intensificando o desejo sexual feminino.</p>
",Benefícios Incríveis,"<p><strong>Ereções Mais Fortes e Duradouras:</strong> Experimente uma potência prolongada.</p>

<p><strong>Diminuição do Cansaço na Hora H:</strong> Tenha mais energia e disposição para aproveitar ao máximo.</p>

<p><strong>Aumento no Desempenho Sexual:</strong> Desfrute de uma performance superior.</p>

<p><strong>Melhora na Vitalidade e Autoestima:</strong> Sinta-se mais confiante e vigoroso.</p>
",,,,,,,,,,,,,,,
product_eec1dbfd-1b2a-3ff6-b7c5-692818e5b478,Product,Calcinha Modeladora de Alta Compressão,"<p><strong>Tenha seu corpo dos sonhos com nossa Cinta Modeladora !!</strong></p><p>&nbsp;</p><p>Com a<strong>&nbsp;Calcinha Modeladora de Alta Compressão</strong>, você terá o corpo dos seus sonhos! Com seu tecido de alta qualidade e compressão.</p><p>Ela ajuda a modelar sua cintura, abdômen e quadris, deixando tudo no lugar e lhe dando a confiança que você precisa para arrasar em qualquer ocasião.</p><p><strong>Tecnologia Inovadora de Compressão</strong></p><p>Com sua&nbsp;tecnologia de compressão, esta calcinha modeladora afina a cintura, comprime o abdômen e ainda é confortável de usar no dia a dia.</p><p>Feita para valorizar seu corpo, a&nbsp;<strong>SlimShape</strong>&nbsp;modela na hora as coxas, empina o bumbum e&nbsp;acaba tolamente com as celulites.</p><p>D<strong>iscreta e Confortável</strong></p><p>Com a&nbsp;<strong>SlimShape</strong>, você pode dizer adeus às calcinhas que apertam, incomodam e marcam sob a roupa!</p><p>Sua compressão suave e modelagem perfeita garantem o ajuste ideal para o seu corpo, sem apertar em excesso ou marcar a pele.</p>",8209a8_8235238892ca4ab4a1eb0910629bbb9f~mv2.webp;8209a8_3c96124fd4da4b01a1218d60ec53493e~mv2.webp;8209a8_688e3bbf5a654b2e9f1c9f8f196a7d01~mv2.webp;8209a8_5bc97d76ba7a4ad881fcb4c67ffe7a15~mv2.webp;8209a8_df63a5d7d08445e484e81274e647be94~mv2.webp;8209a8_de6a122aeb7a4cdfa8b0d73b6365adc9~mv2.webp,,,Novidade,179.9,,true,AMOUNT,90.0,InStock,,,,,,,,,,,,,,,,,,,,,Benefícios,"<p>✅Confortável para qualquer situação: em casa, no trabalho, na rua, na festa;</p>

<p>✅Modelagem instantânea que reduz medidas na hora;</p>

<p>✅Formato ‘shortinho’: mais versátil, para usar com saia, vestido e roupas mais justas;</p>

<p>✅Não marca sob a roupa e define perfeitamente a sua silhueta;</p>

<p>✅Tecido com pouca absorção do suor, não esquenta e deixa sua pele respirar.</p>
",,,,,,,,,,,,,,,,,
product_5822753f-8fb2-7617-3f24-5ccae25bc676,Product,Tabagi Stop,"<p>Tabagi Stop, com sua fórmula americana de sucesso, oferece uma abordagem segura e saudável para você abandonar o cigarro e restaurar sua saúde. Projetado para bloquear o desejo de fumar sem sofrimento de abstinência ou efeito rebote, Tabagi Stop pode transformar sua vida.</p>",8209a8_23522571c0f847f3bf63fb239a2c3710~mv2.png;8209a8_2eeee22922994c17b9940ebd05d27c7e~mv2.png;8209a8_753333dae5e54149986ff11d5ad8410d~mv2.jpeg;8209a8_18c6fa13a8dd4bb18f92a5351b541e1a~mv2.png,,,Novidade,297.0,,true,AMOUNT,100.0,InStock,,,,,,,,,,,,,,,,,,,,,Benefícios de Tabagi Stop,"<p><strong>Bloqueia o Desejo de Fumar:</strong> Ajuda a controlar a vontade de fumar, tornando a transição mais suave.</p>

<p><strong>Elimina Tosse e Rouquidão:</strong> Resultados visíveis em até 15 dias, proporcionando alívio respiratório.</p>

<p><strong>Restauração Rápida do Pulmão:</strong> Auxilia na recuperação da saúde pulmonar após anos de tabagismo.</p>

<p><strong>Reduz a Chance de Câncer:</strong> Contribui para diminuir significativamente o risco de desenvolvimento de câncer.</p>

<p><strong>Aumenta Energia e Disposição:</strong> Proporciona mais vitalidade para o seu dia a dia.</p>

<p><strong>Ajuda a Regenerar o Fígado:</strong> Apoia a recuperação da função hepática.</p>
",Como Tabagi Stop Funciona,"<p><strong>Desintoxicação:</strong> O spray auxilia na eliminação das toxinas acumuladas pelo cigarro no seu organismo, atenuando os sintomas de abstinência e a intensidade dos desejos.</p>

<p><strong>Redução do Desejo:</strong> Sua fórmula exclusiva age diretamente na compulsão e nos desejos intensos associados ao vício, promovendo calma e controle.</p>

<p><strong>Evita Depressão e Ansiedade:</strong> Possui propriedades que equilibram as emoções, reduzindo a ansiedade, o estresse e a irritabilidade, prevenindo recaídas.</p>

<p><strong>Sem Efeito Rebote:</strong> Ao fortalecer o sistema nervoso, contribui para um bem-estar duradouro e resiliência, sem o risco de voltar a fumar.</p>
",,,,,,,,,,,,,,,
product_75f44ed6-29f3-0946-5934-8d68d720b857,Product,ZBox TV,"<p>Liberte-se das mensalidades e da programação limitada da TV aberta com a ZBox TV! Desenvolvida para o público brasileiro, oferecemos um dispositivo inovador onde você paga apenas uma vez e garante acesso vitalício a uma vasta gama de conteúdos.</p>",8209a8_5b49a8f677b64881ac1c878d9785a335~mv2.png;8209a8_e6f497be9cd64673a62851b0a7b80f76~mv2.png;8209a8_f6e36fddfb0146b6a1dc816a0a2b567b~mv2.png;8209a8_26b7860db8c24ed981ff7af07f359766~mv2.png;8209a8_6965739dbdfc4622930d01cd47ec938b~mv2.png,,,Novidade,997.0,,true,AMOUNT,500.0,InStock,,,,,,,,,,,,,,,,,,,,,Por que escolher a ZBox TV?,"<p><strong>Acesso Vitalício com Pagamento Único:</strong> Diga adeus às mensalidades! Pague uma única vez e desfrute de entretenimento ilimitado.</p>

<p><strong>Aplicativo Próprio e 100% Funcional:</strong> Cansado de aplicativos que travam? A ZBox TV possui um aplicativo diferenciado, estável e fácil de usar.</p>

<p><strong>Fidelize Clientes e Ganhe Indicações:</strong> Quem experimenta a ZBox TV se torna cliente fiel e ainda indica para amigos e familiares.</p>

<p><strong>Ideal para Quem Busca Variedade:</strong> Explore um universo de filmes, séries, canais e muito mais, tudo em um só lugar.</p>

<p><strong>Praticidade e Simplicidade:</strong> Transforme sua TV em uma Smart TV completa de forma fácil e intuitiva.</p>
",,,,,,,,,,,,,,,,,
product_f07fa89c-b12d-eb7a-9ca7-91dd0b8593a1,Product,Fone de Ouvido TWS,"<p>Desfrute de uma experiência sonora imersiva e sem interrupções com nosso Fone de Ouvido TWS. Com o melhor custo-benefício do mercado, ele oferece tecnologia de cancelamento de ruído para chamadas e áudios nítidos, além de um microfone embutido de alta qualidade para suas conversas.</p>",8209a8_63f344157e4e4673b94d54679d409947~mv2.jpg;8209a8_f4bc370ca6154c7d982a820688572188~mv2.png;8209a8_fe1306dc15584cc5ad9c66cbdc864df9~mv2.png;8209a8_cec3f77d943b4ad5a80dd13885c9af16~mv2.png;8209a8_b8247fb4a1fc495e9179f8b9568ca599~mv2.png;8209a8_e6c99c55904f431ea2754381ecc924ce~mv2.png;8209a8_077f0553f0df4cdaa30b3c0887c65658~mv2.webp,,,Novidade,199.99,,true,AMOUNT,100.0,InStock,,,,,,,,,,,,,,,,,,,,,Principais Características,"<p><strong>Cancelamento de Ruído:</strong> Bloqueia sons externos para uma experiência auditiva imersiva em ligações e reprodução de áudio.</p>

<p><strong>Microfone de Alta Qualidade:</strong> Garante que sua voz seja ouvida com clareza durante as chamadas.</p>

<p><strong>Case Resistente:</strong> Protege os fones contra quedas e impactos, ideal para o dia a dia.</p>

<p><strong>Longa Autonomia:</strong> Desfrute de até 20 horas de uso com a bateria de longa duração.</p>

<p><strong>Kit de Borrachas Ergonômicas:</strong> Acompanha diferentes tamanhos para um encaixe perfeito e confortável em seus ouvidos.</p>

<p><strong>Controles Integrados:</strong> Permite ajustar o volume e alterar as músicas diretamente nos fones, sem precisar usar o celular.</p>
",Benefícios,"<p>Áudio nítido e sem ruídos em chamadas e gravações.</p>

<p>Conforto e encaixe perfeito para longas horas de uso.</p>

<p>Durabilidade e proteção contra imprevistos.</p>

<p>Longa duração da bateria para o dia a dia.</p>

<p>Praticidade com controles de volume e música nos fones.</p>
",Acompanha,"<p>Fone de Ouvido TWS</p>

<p>Case de Carregamento Resistente</p>

<p>Kit de Borrachas Ergonômicas</p>

<p>Cabo de Carregamento</p>
",,,,,,,,,,,,,
product_c4acbc0f-b385-15f2-54b3-ea528c189b0a,Product,Removedor De Cravos Elétrico,"<p>Aparelho Removedor Cravos Espinhas Acne Extrator Vácuo ""A função de vácuo limpa os poros sujos por meio de sucção e aumenta a circulação sanguínea na pele"". Ele vem com 4 cabeças intercambiáveis, que podem oferecer diferentes funções e dar uma limpeza mais profunda para a pele facial. Possui 3 níveis de sucção ajustáveis para ser conveniente no uso de diferentes tipos de pele, uso de cabeças intercambiáveis:</p><p>&nbsp;</p><ol>	<li>Pele esfoliada com diamante: A ponta esfoliante fornece um tratamento não invasivo para esfregar a camada superior da pele para remover células mortas. Isso torna a pele mais macia, com textura mais refinada e mais firme, estimulando sua natureza de renovação celular.</li>	<li>Facelift: O sistema de elevação do vácuo cria uma suave massagem estimulante, estimula a microcirculação, torna a pele mais firme no rosto.</li>	<li>Limpeza profunda dos poros: Único buraco redondo de design exclusivo, pode sugar acne, cravos ou sujeira dentro dos poros, limpeza profunda dos poros e prevenir a acne.</li>	<li>Remoção de rugas: Exclusivo design de furo elíptico pequeno, cria uma massagem suave e estimula o canto dos olhos, nariz, boca, profunda influência na pele em profundidade para eliminar as rugas e prevenir rugas profundas.</li></ol>",8209a8_5ca82610f575453d98823bd6d0364913~mv2.webp;8209a8_9d05322d118c4c7b96ddc0e357fb2b9c~mv2.png;8209a8_3b2987c49e384b36b1f3455f1a4041ef~mv2.png;8209a8_c230fa9b15a34d709093fa23e55f16f8~mv2.png;8209a8_67069faa856f4038b3ec4e45846f9120~mv2.png;8209a8_e5d74119d8bc4cdabec8be63f65e817b~mv2.png;8209a8_93d14adb256b469fb4aa3a1d81d643dc~mv2.jpg;8209a8_79523a5a508a4a05a21e6e7d66372409~mv2.jpg;8209a8_e62620e2d828428090a7331f0c4a7c80~mv2.jpg,,,Novidade,229.99,,true,AMOUNT,100.0,InStock,,,,,,,,,,,,,,,,,,,,,Instruções,"<ol>
	<li>Certifique-se de que a pele esteja limpa antes de usar o dispositivo.</li>
	<li>Selecione a cabeça apropriada de acordo com a função desejada.</li>
	<li>Ajuste o nível de sucção de acordo com o tipo de pele.</li>
	<li>Coloque o dispositivo sobre a área da pele desejada e active a sucção.</li>
	<li>Desloque o dispositivo suavemente sobre a pele para limpar os poros.</li>
	<li>Desligue o dispositivo após o uso e limpe as cabeças intercambiáveis.</li>
</ol>
",Detalhes do produto,"<p>Remove cravos e espinhas de forma eficaz e segura</p>

<p>Aumenta a circulação sanguínea na pele, deixando-a mais saudável e radiante</p>

<p>Estimula a renovação celular, deixando a pele mais macia e firme</p>

<p>Remove células mortas, impurezas e oleosidade dos poros, prevenindo o aparecimento de acne</p>

<p>Remova rugas e linhas finas, deixando a pele mais jovem</p>

<p>3 níveis de sucção ajustáveis para diferentes tipos de pele</p>

<p>4 cabeças intercambiáveis para diferentes funções</p>

<p>Design pequeno e portátil, fácil de transportar</p>

<p>Recarregável por USB</p>
",Características,"<ol>
	<li>Com 3 Velocidades, pode ajustar a potência de acordo com seu gosto e uso.</li>
	<li>Seguro, não-invasivo, sem de dor, nenhum efeito colateral.</li>
	<li>Design pequeno e requintado, fácil de transportar.</li>
	<li>Estimula a circulação sanguínea, enquanto remove as células mortas da pele e sujeira e oleosidade dos poros, revitaliza a pele, firmando e deixando a pele suave.</li>
	<li>Remove os restos da pele, imperfeições, manchas, rugas e pigmentação não desejada na pele.</li>
</ol>
",,,,,,,,,,,,,
